id,company,plant_site,location_name,station_type,data_logger_id,analyzer_type,parameter,signal_ip,make,model,serial_number,status,commissioned_date,notes,tags,created_at
,Tata Steel,Tata Steel Meramandali,CAAQMS_01,Ambient,—,Ambient,PM10,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_01,Ambient,—,Ambient,PM2.5,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_01,Ambient,—,Ambient,NOx,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_01,Ambient,—,Ambient,SO2,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_01,Ambient,—,Ambient,CO,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_02,Ambient,—,Ambient,PM10,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_02,Ambient,—,Ambient,PM2.5,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_02,Ambient,—,Ambient,NOx,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_02,Ambient,—,Ambient,SO2,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_02,Ambient,—,Ambient,CO,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_03,Ambient,—,Ambient,PM10,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_03,Ambient,—,Ambient,PM2.5,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_03,Ambient,—,Ambient,NOx,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_03,Ambient,—,Ambient,SO2,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_03,Ambient,—,Ambient,CO,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_04,Ambient,—,Ambient,PM10,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_04,Ambient,—,Ambient,PM2.5,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_04,Ambient,—,Ambient,NOx,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_04,Ambient,—,Ambient,SO2,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_04,Ambient,—,Ambient,CO,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_05,Ambient,—,Ambient,PM10,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_05,Ambient,—,Ambient,PM2.5,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_05,Ambient,—,Ambient,NOx,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_05,Ambient,—,Ambient,SO2,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_05,Ambient,—,Ambient,CO,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_06,Ambient,—,Ambient,PM10,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_06,Ambient,—,Ambient,PM2.5,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_06,Ambient,—,Ambient,NOx,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_06,Ambient,—,Ambient,SO2,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_06,Ambient,—,Ambient,CO,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_07,Ambient,—,Ambient,PM10,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_07,Ambient,—,Ambient,PM2.5,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_07,Ambient,—,Ambient,NOx,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_07,Ambient,—,Ambient,SO2,—,—,—,,Active,,,glen;caaqms;tata,
,Tata Steel,Tata Steel Meramandali,CAAQMS_07,Ambient,—,Ambient,CO,—,—,—,,Active,,,glen;caaqms;tata,
